datetime,capital_main,capital_super,capital_big,capital_middle,capital_small
2025-04-21,-232551376.0,-177710.0,232729088.0,-146851184.0,-85700192.0
2025-04-22,-306152640.0,-113337.0,306265968.0,-220280768.0,-85871872.0
2025-04-23,174864592.0,-29516.0,-174835072.0,-29105424.0,203970016.0
2025-04-24,19835488.0,-31160.0,-19804336.0,-57225968.0,77061456.0
2025-04-25,70681856.0,-200529.0,-70481328.0,61116816.0,9565040.0
