datetime,open,close,high,low,volume,amount,MACD_30m,MACD_30m_Signal,MACD_30m_Hist,KDJ_30m_K,KDJ_30m_D,KDJ_30m_J,RSI_30m_6,RSI_30m_12,RSI_30m_24,ma5_30m,ma10_30m,ma20_30m
2025-03-13 10:00:00,46.74,46.21,46.77,46.1,39884.0,184770230.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,,,
2025-03-13 10:30:00,46.15,46.34,46.68,46.11,21043.0,97583645.0,0.01,0.002,0.017,45.27,48.42,38.97,50.0,50.0,50.0,,,
2025-03-13 11:00:00,46.35,46.26,46.38,46.1,16334.0,75431782.0,0.012,0.004,0.016,38.14,45.0,24.43,0.0,0.0,0.0,,,
2025-03-13 11:30:00,46.25,45.97,46.25,45.88,23504.0,108210447.0,-0.01,0.001,-0.022,28.8,39.6,7.2,0.0,0.0,0.0,,,
2025-03-13 13:30:00,45.99,45.7,45.99,45.5,33244.0,152009188.0,-0.049,-0.009,-0.08,24.45,34.55,4.25,0.0,0.0,0.0,46.096,,
2025-03-13 14:00:00,45.67,45.54,45.7,45.4,21597.0,98364975.0,-0.091,-0.025,-0.132,19.71,29.6,0.0,0.0,0.0,0.0,45.962,,
2025-03-13 14:30:00,45.51,45.87,45.87,45.45,12171.0,55533275.0,-0.097,-0.04,-0.115,24.57,27.92,17.87,29.2,29.2,29.2,45.868,,
2025-03-13 15:00:00,45.88,45.71,46.02,45.7,18955.0,86902421.0,-0.113,-0.054,-0.118,23.92,26.59,18.59,24.96,25.58,25.58,45.758,,
2025-03-14 10:00:00,45.2,45.91,46.09,45.2,36972.0,169058927.0,-0.109,-0.065,-0.087,31.02,28.07,36.93,38.39,35.57,35.57,45.746,,
2025-03-14 10:30:00,45.95,46.0,46.18,45.8,24947.0,114764346.0,-0.097,-0.072,-0.051,38.7,31.61,52.88,43.81,39.24,39.24,45.806,45.951,
2025-03-14 11:00:00,46.0,46.05,46.14,45.91,12639.0,58163687.0,-0.083,-0.074,-0.018,49.81,37.68,74.08,46.93,41.1,41.1,45.908,45.935,
2025-03-14 11:30:00,46.05,46.46,46.65,46.05,33657.0,156168141.0,-0.038,-0.067,0.058,62.17,45.84,94.83,65.67,52.94,52.94,46.026,45.947,
2025-03-14 13:30:00,46.47,46.41,46.58,46.38,19609.0,91129485.0,-0.006,-0.054,0.097,69.26,53.65,100.0,62.44,51.67,51.67,46.166,45.962,
2025-03-14 14:00:00,46.42,46.65,46.67,46.4,22107.0,102960321.0,0.038,-0.036,0.148,79.06,62.12,100.0,70.73,57.05,56.65,46.314,46.03,
2025-03-14 14:30:00,46.65,46.62,46.67,46.46,14220.0,66236500.0,0.07,-0.015,0.169,84.9,69.71,100.0,68.46,56.2,55.93,46.438,46.122,
2025-03-14 15:00:00,46.61,46.6,46.62,46.56,21996.0,102500369.0,0.092,0.007,0.171,88.35,75.93,100.0,66.75,55.6,55.46,46.548,46.228,
2025-03-17 10:00:00,47.02,47.49,47.77,47.0,73707.0,349141100.0,0.18,0.041,0.277,88.6,80.15,100.0,85.75,70.83,67.58,46.754,46.39,
2025-03-17 10:30:00,47.43,47.53,47.63,47.38,20883.0,99211876.0,0.249,0.083,0.333,88.34,82.88,99.26,86.18,71.31,67.98,46.978,46.572,
2025-03-17 11:00:00,47.53,47.28,47.56,47.18,15377.0,72813094.0,0.281,0.123,0.317,83.45,83.07,84.2,70.39,64.09,63.2,47.104,46.709,
2025-03-17 11:30:00,47.29,47.18,47.39,47.13,7436.0,35109918.0,0.295,0.157,0.276,77.53,81.22,70.14,64.7,61.37,61.48,47.216,46.827,46.389
2025-03-17 13:30:00,47.18,47.05,47.19,47.0,11612.0,54656500.0,0.292,0.184,0.216,67.75,76.73,49.79,57.46,57.89,59.37,47.306,46.927,46.431
2025-03-17 14:00:00,47.06,47.02,47.16,47.02,7454.0,35088248.0,0.284,0.204,0.16,60.25,71.24,38.28,55.73,57.08,58.9,47.212,46.983,46.465
2025-03-17 14:30:00,47.01,46.92,47.08,46.88,13353.0,62753669.0,0.266,0.216,0.1,51.87,64.78,26.05,49.75,54.3,57.4,47.09,47.034,46.498
2025-03-17 15:00:00,46.92,46.81,46.96,46.68,24381.0,114163102.0,0.241,0.221,0.039,41.47,57.01,10.38,43.57,51.31,55.83,46.996,47.05,46.54
2025-03-18 10:00:00,47.01,47.21,47.4,46.75,42370.0,199705623.0,0.25,0.227,0.046,43.85,52.63,26.31,63.4,60.05,59.82,47.002,47.109,46.616
2025-03-18 10:30:00,47.21,47.03,47.31,47.0,13087.0,61676609.0,0.24,0.23,0.021,41.52,48.92,26.7,53.29,55.18,57.39,46.998,47.152,46.69
2025-03-18 11:00:00,47.03,46.9,47.03,46.81,9743.0,45704699.0,0.219,0.228,-0.017,36.01,44.62,18.8,46.82,51.87,55.68,46.974,47.093,46.742
2025-03-18 11:30:00,46.88,46.86,46.93,46.71,8403.0,39338294.0,0.197,0.221,-0.049,32.34,40.53,15.97,44.81,50.85,55.15,46.962,47.026,46.799
2025-03-18 13:30:00,46.92,46.88,46.92,46.7,9853.0,46069699.0,0.179,0.213,-0.068,30.82,37.29,17.88,46.19,51.37,55.37,46.976,46.986,46.848
2025-03-18 14:00:00,46.87,46.77,46.89,46.71,9716.0,45462355.0,0.154,0.201,-0.094,24.71,33.1,7.94,39.63,48.29,53.86,46.888,46.945,46.886
2025-03-18 14:30:00,46.79,46.98,47.05,46.66,15259.0,71397415.0,0.15,0.191,-0.083,30.89,32.36,27.95,54.46,54.04,56.24,46.878,46.938,46.933
2025-03-18 15:00:00,47.0,46.89,47.03,46.83,13082.0,61374742.0,0.137,0.18,-0.086,30.95,31.89,29.08,48.35,51.37,54.97,46.876,46.925,46.954
